jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bodin,124284,0.3752
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boethius,62682,0.6854
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boethius-dacia,54051,0.6932
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bohr-correspondence,78056,0.4497
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bolzano,155132,0.6108
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bolzano-logic,105163,0.5878
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bonaventure,109175,0.7191
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boolalg-math,16881,0.363
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boole,88621,0.3581
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bosanquet,96950,0.6008
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boundary,145289,0.6521
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bounded-rationality,188332,0.6348
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boyle,111911,0.7447
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bradley,67270,0.7308
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bradley-moral,78168,0.7712
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bradley-regress,83224,0.6623
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,branching-time,121769,0.628
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,brentano,87726,0.674
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,brentano-judgement,82669,0.6651
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,broad,78488,0.8235
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,brouwer,44368,0.4276
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bruno,145683,0.6421
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buber,66928,0.5254
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buddha,50785,0.764
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buddhism-chan,65688,0.6141
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buddhism-huayan,78797,0.5869
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buddhism-tiantai,156231,0.8234
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buridan,87906,0.6935
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,burke,90308,0.6112
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,burley,115565,0.737
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,butler-moral,61048,0.7661
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,byzantine-philosophy,103490,0.5406
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,callicles-thrasymachus,69904,0.6597
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cambridge-platonists,34134,0.6526
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,campanella,82531,0.6264
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,camus,80128,0.6418
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cancer,118253,0.377
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,capability-approach,126717,0.6436
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cardano,83556,0.7394
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,carnap,210237,0.5822
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,carneades,47385,0.694
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cassirer,60498,0.7165
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,categories,80447,0.64
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,category-mistakes,97461,0.6053
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,category-theory,100749,0.4959
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,catharine-macaulay,75941,0.5051
