jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity,rank
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,intentionality-ancient,63090,0.807,32
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,paul-venice,94097,0.8057,33
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,olivi,102678,0.8056,34
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,episteme-techne,86063,0.8053,35
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,existence,77989,0.8049,36
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,mind-identity,54546,0.8042,37
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,metaethics,64720,0.8036,38
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,plato-metaphysics,128854,0.8036,39
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,phenomenology,79910,0.8032,40
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,epistemology,168002,0.803,41
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,realism,94764,0.8018,42
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,moral-epistemology-a-priori,105836,0.7992,43
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,dewey-moral,73500,0.7989,44
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,other-minds,110484,0.7988,45
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,content-externalism,77278,0.7985,46
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,naturalism-moral,124069,0.7981,47
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,concepts,101945,0.7977,48
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,practical-reason,80731,0.7969,49
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,belief,109793,0.7967,50
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,consciousness-intentionality,197399,0.8712,1
